query,esci_label,product_title,product_description,product_brand,query_id,product_id,intent,entities,timestamp,country,city,language,value_weight,confidence,brand,category,attributes,labelling_method
revent 80 cfm,I,Panasonic FV-20VQ3 WhisperCeiling 190 CFM Ceiling Mounted Fan,,Panasonic,0,B000MOO21W,commercial,{},,us,,us,,,"Ducane, Coleman, or any other home heating or AC brand",heating products or room air conditioners,"product size, capacity in terms of CFM (cubic feet per minute), features like reverse or oscillation",LLM
awnmower tires without rims,I,"RamPro 10"" All Purpose Utility Air Tires/Wheels with a 5/8"" Diameter Hole with Double Sealed Bearings (Pack of 2)","<b>About The Ram-Pro All Purpose Utility 10"" Air Tires Wheels Pack of 2.</b></p> <b>The Problem:</b><br> Your handtrucks tires are flat but why should you spend so much money to buy a compete new handtruck?</p> <b>Our Solution:</b><br> The Ram-Pro All Purpose 10"" Air Tires Wheels that will replace and fit your hand truck old tires properly with very easy installations and will be even better and more comfortable than the originals.</p> <b>Double Sealed Bearings:</b><br> The Double Bearings will help to balance your loud evenly thereby make you push lass and easier.</p> <b>Sporty Raised Grips:</b><br> The Sporty Look Raised Grips will help you get an extreme smooth drive while giving you a easy grip on almost all type of surfaces.</p> <b>Ready To Install:</b><br> No need to install the tire into the rim or inflating the tire or installing the hob or bearings etc. everything is assembled ready to use.</p> <b>Size Checking:</b>.<br> Make sure to check your axel size it should match the bearing size from the Air Tire Wheels before buying to avoid any mistakes and inconveniences.</p> <b>How To Install:</b><br> Just slide the wheels onto the axle and with the ends of the axle (clips, nuts or cotter pins) keep the wheels from falling off.</p> <b>Easy Installation:</b><br> All you have to do is just taking off the old ones and slide in the new ones and closing them with clips, nuts or cotter pins and they are installed ready to work properly.</p> <b>Use for:</b><br> Lawn Mowers<br> Yard Wagons<br> Air Compressors<br> Power Washers<br> Hand Trucks<br> Child's Wagons<br> Shopping Carts<br> Wood Chippers<br> Snow Blowers<br> Dolly’s<br> Go Carts<br> Golf Carts<br> Tricycles<br> Etc.</p> <b><i>Without Wheels It’s Not Moving</b></i>",RamPro,1,B075SCHMPY,commercial,{},,us,,us,,,awnmower,tires,"tires, without, rims",LLM
qscreen fence without holes,I,"FOTMISHU 6Pcs Greenhouse Hoops Rust-Free Grow Tunnel Tunnel, 4ft Long Steel with Plastic Coated Plant Supports for Garden Fabric, Plant Support Garden Stakes","<p><b>Description:</b><br><b>Material:</b>plastic coated steel pipe<b>Size</b>Length 120 (the size before bending), width 50 * height 48CM(The size after bending)<b>Weight:</b> 720g<b>Color:</b>green<b>Packing includ:</b>6pcs hoops/bag<b>Product Usage:</b><br>1, can be used for the traction of Tomatoes vine, vines and some natural climbing plants. with support<br>2, can be used as a support for the greenhouse<br>3, Garden Hoops provide convenience for your garden plant work<br><b>Features:</b><br>1, unique and handsome in appearance<br>2, good material, strong antioxidant capacity<br>3, green and health.<br><b>Installation steps:</b><br>►Gathering all materials<br>►Bend the hoops<br>►Outline Your Low Tunnel Greenhouse<br>►Put Your Hoops in Place<br>►Tie a Ridgeline<br>►Time to Place the cover<br>►Tie Down the Ends with pins<br>►The distination between 2 hoops should be less than 23.6 inches",FOTMISHU,2,B07D7TBSGH,commercial,{},,us,,us,,,Qsee,Fence,"wireless, screen, fence, without, holes",LLM
 10 self-seal envelopes without window,E,"BAZIC Security Self Seal Envelope 4 1/8"" x 9 1/2"" 10, No Window Tint Pattern Mailing Envelopes, Peel & Seal, Office Checks Invoices (30/Pack), 1-Pack","<p><strong>BACK TO BAZIC</strong></p> <p>Our goal is to provide each customer with long-lasting supplies at an affordable cost. Since 1998, we’ve delivered on this promise and will only continue to improve every year. We’ve built our brand on integrity and quality, so customers know exactly what to expect.</p> <p><strong>COMMITTED TO VALUES</strong></p> <p>We are a value-driven company, guided by the principles of excellence through strong product design at low cost. Our commitment to these values is reflected in our dedication to improving current products and developing new exciting products for our consumers. We thrive on imagination, passion and leadership. We have great products and will to continue to rise with our customer expectations.</p> <p><strong>SUCCESS BASED ON SATISFACTION</strong></p> <p>Headquarters in Los Angeles, California, United States. Each and every product we send out, we expect our 100% customer satisfaction. Our success stems from individual consumer fulfillment. We create products that people want to recommend to others.</p>",BAZIC Products,5,B07RP3F2LW,commercial,{},,us,,us,,,none,office supply,"self-seal, envelopes, without window",LLM
 2 pencils not sharpened,E,"Rarlan Wood-Cased 2 HB Pencils, Pre-sharpened, 200 Count Classpack",200 2 hb pencils classroom bulk pack,Rarlan,6,B082CLHSPD,local,{},,us,,us,,,none,office supplies/stationery,"2 pencils, not sharpened",LLM
 cellist thats not a hashtag,E,Funny Cellists That's Not A Hashtag Music Sweatshirt,,BW Cellists,7,B096LZW7J1,informational,{},,us,,us,,,none,music,"cellist, musician, instrumentalist",LLM
 do not disturb,E,"Office Privacy Sign,Do Not Disturb/Please Knock/Out of Office/in a Meeting Sign, Non-Scratch Magnetic Privacy Door Sign That Lets Others Know Whether You're Available Or Not(5 inch,Black)",,LoYinLo,8,B08LYWY4X6,local,{},,us,,us,,,,,"do not disturb, notification, silence, mute",LLM
 mom life,E,Waldeal Embroidered Mom Life Vintage Adjustable Baseball Cap Cotton Denim Dad Hat Black,"Embroidery washed dyed/twill cotton cap, Low profile, Unstructured hat with embroidered logo, they have a clean fit, and with proper poise will allow access to country clubs and sailboats without so much as a passing glance. The washed twill cotton baseball cap is an indispensable part of every woman's man's wardrobe. Adjustable metal buckle customized fits most adult head size, dimensions: Hat Height: 9cm/3.54"", Hat Along: 7cm/2.76"", Head Circumference:55-60cm/21.6""-23.6"".",Waldeal,9,B07L4383XR,local,{},,us,,us,,,none,family/personal/lifestyle,"mom, life, motherhood, family, everyday, parenting",LLM
 sharp not hashtag shirt,E,This Is A Sharp Not A Hashtag Teacher Gift T-Shirt,,Teacher Gifts CG Tees,10,B07Q9SN2PP,transactional,{},,us,,us,,,sharp,shirts,"color, style, type, price, product name",LLM
1 best and not expensive bath back brush cream color,I,BS-MALL Makeup Brush Set 18 Pcs Premium Synthetic Foundation Powder Concealers Eye shadows Blush Makeup Brushes with black case (Champagne Gold),"BS-MALL Makeup Brushes Provides Assortment of Makeup Brushes - Kabuki, Foundation, & EyeShadow Brushes; Lip Liner, Blush & Powder Brushes. Shop BS-MALL's array of makeup brushes, cosmetic tools and applicators to ensure perfect results. Find beauty tools for face,eyelashes, eyebrows and more. Our makeup brushes have bold handle for easy use. Highest quality material, high density bristle, high quality Synthetic fiber hair,Does Not SHED. 6 steps to clean makeup brushes: 1.Run the bristles under lukewarm water. Don't use hot water, as the heat may damage the bristles. 2.Pour some baby shampoo to the water. Add 1 teaspoon of baby shampoo into the cup and still gently to combine.If you do not have baby shampoo, use liquid Castile soap instead. 3.Dip the brush into the mixture and swirl. Only the bottom half of your brushes' bristles should be swirled in the mixture to avoid water traveling up the handle. 4. Rinse the bristles under lukewarm water. 5. Pat the bristles dry, then reshape them. 6. Let the brush air dry, then fluff it with your fingers.",BS-MALL,11,B07MH1KHJ2,commercial,{},,us,,us,,,none,home/grooming/personal,"best, not expensive, bath back brush, cream color",LLM
